original_ARI,counterfactual_ARI,impact
0.4469831726286909,0.42463401399725637,0.02234915863143455
0.44482567519308774,0.42258439143343335,0.022241283759654396
0.4426610669115015,0.4205280135659264,0.022133053345575082
0.4404893926901807,0.4184649230556717,0.022024469634509047
0.438310698495995,0.41639516357119527,0.02191553492479975
0.43612503136328024,0.4143187797951162,0.021806251568164015
0.4339324394005802,0.41223581743055115,0.02169662197002903
0.43173297179728304,0.4101463232074189,0.021586648589864144
0.42952667883014817,0.4080503448886407,0.02147633394150744
0.4273136118697196,0.40594793127623363,0.02136568059348598
0.42509382338662377,0.40383913221729256,0.021254691169331208
0.42286736695774757,0.4017239986098602,0.02114336834788738
0.42063429727229235,0.3996025824086777,0.02103171486361466
0.4183946701377013,0.39747493663081623,0.020919733506885085
0.41614854248545713,0.39534111536118427,0.02080742712427286
0.4138959723767442,0.393201173757907,0.020694798618837218
0.4116370190079746,0.39105516805757584,0.020581850950398772
0.40937174271617216,0.38890315558036354,0.020468587135808625
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
0.40909118016682805,0.38863662115848663,0.020454559008341422
