step,warp,clutter,variation,entropy,bot_success,mode,human_score,delay,cognitive_load,difficulty,ARI
45,0.1,0.05,18,0.0177496720250877,0.01,strong,0.8358311834667875,3.181683955324617,0.36522926005323425,0.2511671392043434,0.79650731863962
46,0.1,0.05,18,0.04101736089705135,0.03694977481020301,average,0.8268789629848332,3.3465403905675584,0.36522926005323425,0.2581474458659325,0.7796533900919905
47,0.1,0.05,18,0.01704209034173991,0.010506376570327767,strong,0.8193465846222877,3.3336925677460107,0.36522926005323425,0.2509548646993391,0.7888826071534483
48,0.1,0.05,18,0.05039685862398016,0.04909744465273804,average,0.8671327067490585,2.907217196922895,0.36522926005323425,0.2609612951840112,0.7920197384249432
49,0.1,0.05,18,0.04551134302632104,0.05211362609174242,average,0.8619350806258502,3.3673978121562755,0.36522926005323425,0.2594956405047134,0.7884700904898773
50,0.1,0.05,18,0.042649561545694485,0.0413970972939651,average,0.8584252135034518,3.0742949937127726,0.36522926005323425,0.2586371060605255,0.7917989416882165
51,0.1,0.05,18,0.14362586594584795,0.14246459746004292,weak,0.857357698779486,3.0639969847784094,0.36522926005323425,0.2889299973805715,0.7428088958556922
52,0.10117131604181176,0.05117131604181176,18,0.15562295160144612,0.14629407904572234,weak,0.8608133629615377,2.9231701227056925,0.365874620533282,0.29317448355729875,0.7422162294063871
53,0.10277395214054706,0.05277395214054706,18,0.1360325996295036,0.13274983158633444,weak,0.831623073437864,3.5198001998757684,0.366764233929438,0.288186991361872,0.7356742596970012
54,0.10427305455293108,0.05427305455293108,18,0.14995225215342506,0.14415927425838804,weak,0.8344955151250487,3.575624027022459,0.36760319664261776,0.29320184983222813,0.7313311234067744
55,0.10656503674929872,0.05656503674929872,18,0.04519168291491381,0.043127778280231316,average,0.8670298066993319,3.8601823915673985,0.36889842764891845,0.2630689100669754,0.7944490217818978
56,0.10045524886002413,0.05045524886002413,18,0.040350840613112206,0.04157778119312656,average,0.836359642348985,3.012324273035304,0.3654796005494175,0.25819783027693405,0.7818320544924429
57,0.1,0.05,18,0.04066040389684843,0.04473945532167562,average,0.8499542151252302,3.380648002631313,0.36522926005323425,0.25804035876587167,0.7865426060350122
58,0.1,0.05,18,0.017878061928404805,0.01649460793175471,strong,0.8680399142942328,3.2822029777496917,0.36522926005323425,0.2512056561753386,0.8080748222455814
59,0.1,0.05,18,0.15314741017743055,0.14587973979164398,weak,0.8462031126487531,4.094353160163205,0.36522926005323425,0.29178646065004626,0.7359668717206945
60,0.10202336738802222,0.05202336738802221,18,0.14714928573858868,0.14402094899976364,weak,0.834076833857156,2.960945505901594,0.3663466443771223,0.2911044076422818,0.7314147074215984
61,0.10421896793792917,0.05421896793792917,18,0.016109096095112248,0.013696734018896322,strong,0.8464474232198103,3.5007049967271273,0.3675728138569999,0.2530185202291165,0.7994359581174997
62,0.1,0.05,18,0.012366188122867725,0.01,strong,0.8500396710603748,3.024264294765798,0.36522926005323425,0.24955209403367742,0.803062642573801
63,0.1,0.05,18,0.03527823730964566,0.04285247343307498,average,0.8425659502721718,3.5352220484833614,0.36522926005323425,0.2564257087897108,0.7842284936986227
64,0.1,0.05,18,0.03529254346237849,0.03422207474172747,average,0.8265814737392726,3.330256687941674,0.36522926005323425,0.2564300006355307,0.7809187294853425
65,0.1,0.05,18,0.01872265959327282,0.016796072694628635,strong,0.8338191005894896,3.324419941969978,0.36522926005323425,0.251459035474799,0.7925144590052076
66,0.1,0.05,18,0.05388597398932517,0.05359493039709517,average,0.8286368433568998,3.3856386182908045,0.36522926005323425,0.26200802979361465,0.7725680578525507
67,0.1,0.05,18,0.1452316277104413,0.14242770507860011,weak,0.8731572741770178,3.5944430257967905,0.36522926005323425,0.2894117259099495,0.7498871335032931
68,0.10065644140647068,0.05065644140647067,18,0.14218102520214926,0.1490693720419347,weak,0.8326504649833304,3.4340770993460135,0.3655904340524044,0.288857719156632,0.7287257199079649
69,0.10290817662030226,0.052908176620302255,18,0.0522240145950823,0.04965508484052126,average,0.8613991466810605,4.4397562429234245,0.36683908449343083,0.26311926641553834,0.7889729011866891
70,0.1,0.05,18,0.014312870669294032,0.011458418115828197,strong,0.8742075621171242,3.56450293923428,0.36522926005323425,0.25013609879760534,0.8132235049208227
71,0.1,0.05,18,0.14300930489486557,0.13975234863833658,weak,0.8451908644207053,3.5059931763342997,0.36522926005323425,0.28874502906527677,0.7385728291955383
72,0.10149047142099263,0.05149047142099263,18,0.13780482155353174,0.1416689476262196,weak,0.8465566774292638,3.135570050526564,0.3660511756786557,0.2880055996882981,0.7383989184425401
73,0.10282831223530244,0.05282831223530243,18,0.01765172468211416,0.01724235398518255,strong,0.8974023818063388,2.7236013377839656,0.3667945415889971,0.2527030365372142,0.8208017088657991
74,0.1,0.05,18,0.013431300951872569,0.01,strong,0.8192419318897193,3.1367228504494897,0.36522926005323425,0.24987162788237888,0.7891717065621358
75,0.1,0.05,18,0.13995617907776833,0.1345114260929315,weak,0.8527818496954216,2.954978976807528,0.36522926005323425,0.2878290913201476,0.7444387814891058
